name,first,last,middle,title,suffix
John Ssebaana Kizito,John,Kizito,Ssebaana,,
"Jones, V M",V,Jones,M,,
Hama Amirou Ly,Hama,Ly,Amirou,,
"Nascimento, Lopo Do",Lopo,Nascimento,Do,,
Ras Mengesha Yohannes,Ras,Yohannes,Mengesha,,
"Davies, H O",H,Davies,O,,
Martha Sandolo Belleh,Martha,Belleh,Sandolo,,
"Akandu, Lawrence Chimezie",Lawrence,Akandu,Chimezie,,
Darge Sahle Selassie,Darge,Selassie,Sahle,,
"Erhenede, Justice John",Justice,Erhenede,John,,
Fred Kwasi Apaloo,Fred,Apaloo,Kwasi,,
"Chaurembo, Ania Said",Ania,Chaurembo,Said,,
Mathias Meinrad Chikawe,Mathias,Chikawe,Meinrad,,
"Yahia, Wissem Ben",Wissem,Yahia,Ben,,
Aziza Sleyum Ally,Aziza,Ally,Sleyum,,
"Barque, Barry Moussa",Barry,Barque,Moussa,,
Erinayo Wilson Oryema,Erinayo,Oryema,Wilson,,
"Dada, Idi Amin",Idi,Dada,Amin,,
Hilary R W Johnson,Hilary,Johnson,R W,,
"Gana, Mohammed Abba",Mohammed,Gana,Abba,,
Asha Haji Elmi,Asha,Elmi,Haji,,
"Dlamini, Jameson Mbilini",Jameson,Dlamini,Mbilini,,
Thomas R Odhiambo,Thomas,Odhiambo,R,,
"Nouira, Hedi Amara",Hedi,Nouira,Amara,,
F Abiola Irele,F,Irele,Abiola,,
"Achour, Selim Ben",Selim,Achour,Ben,,
J E A Wey,J,Wey,E A,,
"Dodge, Ralph Edward",Ralph,Dodge,Edward,,
John Kodwo Amissah,John,Amissah,Kodwo,,
"Ezeh, Alphonsus Azuogu",Alphonsus,Ezeh,Azuogu,,
Abubakar Tafawa Balewa,Abubakar,Balewa,Tafawa,,
"Mbongo, Mbedi A",Mbedi,Mbongo,A,,
Amadou Tidiane Tall,Amadou,Tall,Tidiane,,
"Seko, Mobutu Sese",Mobutu,Seko,Sese,,
Fernando Neves Nando,Fernando,Nando,Neves,,
"Bayntun, Henry William",Henry,Bayntun,William,,
Helton Samo Cunha,Helton,Cunha,Samo,,
"Dorda, Abuzed Omar",Abuzed,Dorda,Omar,,
Amal Nuri Safar,Amal,Safar,Nuri,,
"Samatar, Muse Dude",Muse,Samatar,Dude,,
Hemed Mohammed Hemed,Hemed,Hemed,Mohammed,,
"Onu, Sylvester Umaru",Sylvester,Onu,Umaru,,
Ama Sefa Yeboah,Ama,Yeboah,Sefa,,
"Deerow, Abdallah Isaaq",Abdallah,Deerow,Isaaq,,
Khalida Rashid Khan,Khalida,Khan,Rashid,,
"Edozien, Joseph Chike",Joseph,Edozien,Chike,,
Maua Abeid Daftari,Maua,Daftari,Abeid,,
"Toivo, Andimba Toivo Ya",Andimba,Toivo,Toivo Ya,,
Louis Lansana Beavogui,Louis,Beavogui,Lansana,,
"Khamis, Mwajuma Hassan",Mwajuma,Khamis,Hassan,,
Alamin Mohammed Seid,Alamin,Seid,Mohammed,,
"Warner, Bennie Dee",Bennie,Warner,Dee,,
Gosbert Begumisa Blandes,Gosbert,Blandes,Begumisa,,
"Mariam, Mahisente Habte",Mahisente,Mariam,Habte,,
Habib Ben Yahia,Habib,Yahia,Ben,,
"Massaoued, Amir Hadj",Amir,Massaoued,Hadj,,
Buka Suka Dimka,Buka,Dimka,Suka,,
"Tuweni, Kamilya Mohammedi",Kamilya,Tuweni,Mohammedi,,
Charles N Keenja,Charles,Keenja,N,,
"Khatib, Muhammed Seif",Muhammed,Khatib,Seif,,
George Mutandwa Chiweshe,George,Chiweshe,Mutandwa,,
