name,first,last,middle,title,suffix
Fujiwara No Atsutada,Fujiwara,Atsutada,No,,
"Bali, Rai Umanath",Rai,Bali,Umanath,,
E A Smythies,E,Smythies,A,,
"Lan, Cheung Tak",Cheung,Lan,Tak,,
Mir Khasim Ali,Mir,Ali,Khasim,,
"Joshi, B C",B,Joshi,C,,
D R Bendre,D,Bendre,R,,
"Sirohi, Giri Raj Singh",Giri,Sirohi,Raj Singh,,
George W Hunter,George,Hunter,W,,
"Nakafumi, Fujiwara No",Fujiwara,Nakafumi,No,,
J P Dutta,J,Dutta,P,,
"Ajnala, Rattan Singh",Rattan,Ajnala,Singh,,
Ghulam Ahmed Pervez,Ghulam,Pervez,Ahmed,,
"Sharma, Som Nath",Som,Sharma,Nath,,
Fujiwara No Toshihito,Fujiwara,Toshihito,No,,
"Vacuum, Red Bacteria",Red,Vacuum,Bacteria,,
Gurmit Singh Aulakh,Gurmit,Aulakh,Singh,,
"Ho, Chan Wai",Chan,Ho,Wai,,
S K Pottekkatt,S,Pottekkatt,K,,
"Swee, Goh Keng",Goh,Swee,Keng,,
Haing S Ngor,Haing,Ngor,S,,
"Deora, Milind Murli",Milind,Deora,Murli,,
"Gupta, N C Sen",N,Gupta,C Sen,,
Baldev Singh Dhillon,Baldev,Dhillon,Singh,,
"Tso, Yee Jee",Yee,Tso,Jee,,
John Alexander Low Waddell,John,Waddell,Alexander Low,,
"Khan, Azmi Maulana Obaidullah",Azmi,Khan,Maulana Obaidullah,,
Minamoto No Noriyori,Minamoto,Noriyori,No,,
"Yoshitsuna, Minamoto No",Minamoto,Yoshitsuna,No,,
Bhakti Vaibhava Puri Maharaj,Bhakti,Maharaj,Vaibhava Puri,,
"Nanavati, G T",G,Nanavati,T,,
Lai Chee Ying,Lai,Ying,Chee,,
"Cheuk, Poon Yiu",Poon,Cheuk,Yiu,,
Taira No Noritsune,Taira,Noritsune,No,,
"American, Punjabi Mexican",Punjabi,American,Mexican,,
Fujiwara No Nakamaro,Fujiwara,Nakamaro,No,,
"Kong, Wah Kau",Wah,Kong,Kau,,
"Yoshinari, David Soria",David,Yoshinari,Soria,,
Amolak Rathan Kohli,Amolak,Kohli,Rathan,,
"Jadeja, Ravindra Singh",Ravindra,Jadeja,Singh,,
P Paul Verma,P,Verma,Paul,,
"Thakur, Ram Singh",Ram,Thakur,Singh,,
Tonse Madhav Ananth Pai,Tonse,Pai,Madhav Ananth,,
"Jeong, Seo Hye",Seo,Jeong,Hye,,
Abhinn Shyam Gupta,Abhinn,Gupta,Shyam,,
"Gill, Piara Singh",Piara,Gill,Singh,,
Ma Mon Luk,Ma,Luk,Mon,,
"Wan, Khaw Boon",Khaw,Wan,Boon,,
Kulwant Singh Pannu,Kulwant,Pannu,Singh,,
"Bokadia, K C",K,Bokadia,C,,
Mohamed Ali Khan Walajan,Mohamed,Walajan,Ali Khan,,
V R Naren Kumar,V,Kumar,R Naren,,
"Fusasaki, Fujiwara No",Fujiwara,Fusasaki,No,,
Muzammil H Siddiqi,Muzammil,Siddiqi,H,,
"Koto, Kimi No Tameni Dekiru",Kimi,Koto,No Tameni Dekiru,,
Liu Kai Chi,Liu,Chi,Kai,,
"Kania, H J",H,Kania,J,,
Premindra Singh Bhagat,Premindra,Bhagat,Singh,,
"Kanemichi, Fujiwara No",Fujiwara,Kanemichi,No,,
Oh Man Seok,Oh,Seok,Man,,
"Yadav, Karan Singh",Karan,Yadav,Singh,,
Kim Kwan Cheol,Kim,Cheol,Kwan,,
"Akimitsu, Fujiwara No",Fujiwara,Akimitsu,No,,
Satyendra Narayan Sinha,Satyendra,Sinha,Narayan,,
"Chan, Ngeow Sze",Ngeow,Chan,Sze,,
Vishnu Sakharam Khandekar,Vishnu,Khandekar,Sakharam,,
"Suri, Sher Shah",Sher,Suri,Shah,,
Tsutsui Jomyo Meishu,Tsutsui,Meishu,Jomyo,,
"Naiker, D K",D,Naiker,K,,
Brij Lal Varma,Brij,Varma,Lal,,
"Urs, D Devaraj",D,Urs,Devaraj,,
Choi Soo Jong,Choi,Jong,Soo,,
"Patel, H M",H,Patel,M,,
V K Krishna Menon,V,Menon,K Krishna,,
"Puri, K R",K,Puri,R,,
"Sano, Roy I",Roy,Sano,I,,
Cathy Bao Bean,Cathy,Bean,Bao,,
Jong Won Park,Jong,Park,Won,,
Nirmal Jit Singh Sekhon,Nirmal,Sekhon,Jit Singh,,
"Yue, Wong Chun",Wong,Yue,Chun,,
Cheung Man Kwong,Cheung,Kwong,Man,,
"Basheer, Vaikom Muhammad",Vaikom,Basheer,Muhammad,,
J C Daniel,J,Daniel,C,,
"Sang, Gaston Tong",Gaston,Sang,Tong,,
T N Kaul,T,Kaul,N,,
"Yin, Chung Ho",Chung,Yin,Ho,,
Bhai Taru Singh,Bhai,Singh,Taru,,
"Rao, Akkineni Nageswara",Akkineni,Rao,Nageswara,,
Qin Er Shi,Qin,Shi,Er,,
"Korenari, Fujiwara No",Fujiwara,Korenari,No,,
Muhammad Hidayat Ullah,Muhammad,Ullah,Hidayat,,
"Baba, Sant Gadge",Sant,Baba,Gadge,,
Mani Damodara Chakyar,Mani,Chakyar,Damodara,,
"Singh, Bhai Taru",Bhai,Singh,Taru,,
R V Raveendran,R,Raveendran,V,,
"Ki, Chan Siu",Chan,Ki,Siu,,
"Chuen, Tsang Lap",Tsang,Chuen,Lap,,
Girdhari Lal Bhargava,Girdhari,Bhargava,Lal,,
"Eng, Yeap Cheng",Yeap,Eng,Cheng,,
Pan Yin Tze,Pan,Tze,Yin,,
"Koretada, Fujiwara No",Fujiwara,Koretada,No,,
Kenji Kosaka,Kenji,Kosaka,,,
"Suda, Issei",Issei,Suda,,,
Ji Mingyi,Ji,Mingyi,,,
"Daqian, Zhang",Zhang,Daqian,,,
Hu Jinguang,Hu,Jinguang,,,
"Agnihotri, Bharat",Bharat,Agnihotri,,,
Frederic Thesiger,Frederic,Thesiger,,,
"Yunhe, Pan",Pan,Yunhe,,,
Gengshi Han,Gengshi,Han,,,
"Amritraj, Vijay",Vijay,Amritraj,,,
Satoru Iwata,Satoru,Iwata,,,
"Umino, Chica",Chica,Umino,,,
Song Zheyuan,Song,Zheyuan,,,
"Rana, Jadi",Jadi,Rana,,,
Motohisa Furukawa,Motohisa,Furukawa,,,
"Tang, Ai",Ai,Tang,,,
Takashi Ishizeki,Takashi,Ishizeki,,,
"Seigen, Go",Go,Seigen,,,
Dinshah Irani,Dinshah,Irani,,,
"Mochizuki, Masaaki",Masaaki,Mochizuki,,,
Jal Cooper,Jal,Cooper,,,
"Masuda, Keiko",Keiko,Masuda,,,
Tsutomu Takebe,Tsutomu,Takebe,,,
"Vora, Motilal",Motilal,Vora,,,
Cang Xin,Cang,Xin,,,
"Kowashi, Inoue",Inoue,Kowashi,,,
Nobuyoshi Kuwano,Nobuyoshi,Kuwano,,,
"Morishima, Takeshi",Takeshi,Morishima,,,
Kansei Nakano,Kansei,Nakano,,,
"De Mello, Anthony",Anthony,De Mello,,,
Eiji Iwamoto,Eiji,Iwamoto,,,
"Srivastav, Raju",Raju,Srivastav,,,
Sukumar Ray,Sukumar,Ray,,,
"Mupnar, Perumal",Perumal,Mupnar,,,
Lai Heng,Lai,Heng,,,
"Baskaran, Sathasivam",Sathasivam,Baskaran,,,
Takashi Otsuka,Takashi,Otsuka,,,
"Yucheng, Wang",Wang,Yucheng,,,
Chen Jieru,Chen,Jieru,,,
"Tingfang, Bie",Bie,Tingfang,,,
Cheng Yi,Cheng,Yi,,,
"Zhuo, Dong",Dong,Zhuo,,,
Honda Tadamasa,Honda,Tadamasa,,,
"Chikafusa, Kitabatake",Kitabatake,Chikafusa,,,
Janardhana Poojary,Janardhana,Poojary,,,
"Taniguchi, Tomoko",Tomoko,Taniguchi,,,
Tiruppur Kumaran,Tiruppur,Kumaran,,,
"Weifeng, Li",Li,Weifeng,,,
Gao Qipei,Gao,Qipei,,,
"Takamachi, Nanoha",Nanoha,Takamachi,,,
Hirohiko Araki,Hirohiko,Araki,,,
Ieng Sary,Ieng,Sary,,,
"Honda, Hirotoshi",Hirotoshi,Honda,,,
Yang Guozhong,Yang,Guozhong,,,
"Adhikari, Hemu",Hemu,Adhikari,,,
Chino Moreno,Chino,Moreno,,,
"Kobayashi, Tomoki",Tomoki,Kobayashi,,,
Ramo Nakajima,Ramo,Nakajima,,,
"Ito, Tatsuya",Tatsuya,Ito,,,
Nana Patekar,Nana,Patekar,,,
"Sadamasa, Okudaira",Okudaira,Sadamasa,,,
Elijah Impey,Elijah,Impey,,,
"Singh, Bijendra",Bijendra,Singh,,,
Tadao Ando,Tadao,Ando,,,
"Lim, Hyun",Hyun,Lim,,,
Weichang Chien,Weichang,Chien,,,
"Peshwe, Moropant",Moropant,Peshwe,,,
Kumar Navaratnam,Kumar,Navaratnam,,,
"Saluja, Renu",Renu,Saluja,,,
Jayarama Reddy,Jayarama,Reddy,,,
"Guan, Tong",Tong,Guan,,,
Remi Kaler,Remi,Kaler,,,
"Shoujing, Guo",Guo,Shoujing,,,
Dodda Ganesh,Dodda,Ganesh,,,
"Ranatunga, Nishantha",Nishantha,Ranatunga,,,
Yutaka Higuchi,Yutaka,Higuchi,,,
"Tsai, Rick",Rick,Tsai,,,
Pohl Trial,Pohl,Trial,,,
"Junjiro, Takakusu",Takakusu,Junjiro,,,
Yang Bo,Yang,Bo,,,
"Xizhi, Wang",Wang,Xizhi,,,
Shiv Chopra,Shiv,Chopra,,,
"Kakichi, Uchida",Uchida,Kakichi,,,
Zhong Ding,Zhong,Ding,,,
"Watanabe, Tomoyoshi",Tomoyoshi,Watanabe,,,
Mussarat Abbas,Mussarat,Abbas,,,
"Ganguly, Sourav",Sourav,Ganguly,,,
Shivappa Nayaka,Shivappa,Nayaka,,,
"Devi, Leela",Leela,Devi,,,
Pang Jiaying,Pang,Jiaying,,,
"Tadashige, Takatoriki",Takatoriki,Tadashige,,,
Shinji Wada,Shinji,Wada,,,
"Singh, Gurnam",Gurnam,Singh,,,
Takashi Inui,Takashi,Inui,,,
"Kurihara, Harumi",Harumi,Kurihara,,,
Bobby Deol,Bobby,Deol,,,
"Gongyao, Zhang",Zhang,Gongyao,,,
"Nair, Damodran",Damodran,Nair,,,
Liu Chuyu,Liu,Chuyu,,,
"Dighe, Sameer",Sameer,Dighe,,,
Micheal Nakamura,Micheal,Nakamura,,,
"Spector, Dave",Dave,Spector,,,
Rajshree Pathy,Rajshree,Pathy,,,
"Yumemakura, Baku",Baku,Yumemakura,,,
Amit Shah,Amit,Shah,,,
"Du Rowa, Gateau",Gateau,Du Rowa,,,
Matilal Sarkar,Matilal,Sarkar,,,
"Usagi, Miyamoto",Miyamoto,Usagi,,,
Gong Lijiao,Gong,Lijiao,,,
"Pandit, Ramai",Ramai,Pandit,,,
Raj Narain,Raj,Narain,,,
"Kondo, Koji",Koji,Kondo,,,
Reema Sen,Reema,Sen,,,
"Naoyori, Shinjo",Shinjo,Naoyori,,,
Ma Zhong,Ma,Zhong,,,
"Panchbhai, Bhau",Bhau,Panchbhai,,,
Sun Xiu,Sun,Xiu,,,
"Guangyi, Wang",Wang,Guangyi,,,
Keel Lorentz,Keel,Lorentz,,,
"Hong, Gene",Gene,Hong,,,
Hughes Eng,Hughes,Eng,,,
"Tong, Zhou",Zhou,Tong,,,
Nainendra Nand,Nainendra,Nand,,,
"Fzono, Aqi",Aqi,Fzono,,,
Black Box,Black,Box,,,
"Nijimura, Okuyasu",Okuyasu,Nijimura,,,
Minako Seki,Minako,Seki,,,
"Ji, Liang",Liang,Ji,,,
Ashikaga Tadayoshi,Ashikaga,Tadayoshi,,,
"Nagayasu, Hirano",Hirano,Nagayasu,,,
Prem Kumar,Prem,Kumar,,,
"Takai, Miho",Miho,Takai,,,
Yukimasa Obi,Yukimasa,Obi,,,
"Kawasaki, Audrey",Audrey,Kawasaki,,,
Qin Lang,Qin,Lang,,,
"Moritomo, Saegusa",Saegusa,Moritomo,,,
Mir Qasim,Mir,Qasim,,,
"Tulsi, Acharya",Acharya,Tulsi,,,
Arvind Dave,Arvind,Dave,,,
"Ma, Lao",Lao,Ma,,,
Telugu Talli,Telugu,Talli,,,
"Jun, Shiraoka",Shiraoka,Jun,,,
Madhu Koda,Madhu,Koda,,,
"Watanabe, Yoshimi",Yoshimi,Watanabe,,,
Lok Yiu,Lok,Yiu,,,
"Zan, Ni",Ni,Zan,,,
Mangesh Panchal,Mangesh,Panchal,,,
"Kadphises, Kujula",Kujula,Kadphises,,,
Lin Ying,Lin,Ying,,,
"Kanvinde, Achyut",Achyut,Kanvinde,,,
Karam Singh,Karam,Singh,,,
"Hui, Shi",Shi,Hui,,,
Xiao Yanling,Xiao,Yanling,,,
"Saburo, Mutsumi",Mutsumi,Saburo,,,
Sri Nagesh,Sri,Nagesh,,,
"Zhaoying, Ye",Ye,Zhaoying,,,
Eiichiro Washio,Eiichiro,Washio,,,
"Onuki, Keiko",Keiko,Onuki,,,
Rajendra Chola III,Rajendra,Chola,,,III
Krishna Raja Wadiyar IV,Krishna,Wadiyar,Raja,,IV
Kulothunga Chola I,Kulothunga,Chola,,,I
Shah Jahan III,Shah,Jahan,,,III
Maharaja Sayajirao Gaekwad III,Maharaja,Gaekwad,Sayajirao,,III
Veera Ballala I,Veera,Ballala,,,I
Wakanohana Kanji II,Wakanohana,Kanji,,,II
Virupaksha Raya II,Virupaksha,Raya,,,II
Mihira Bhoja I,Mihira,Bhoja,,,I
Rajendra Choda II,Rajendra,Choda,,,II
Bukka Raya II,Bukka,Raya,,,II
Rajendra Chola II,Rajendra,Chola,,,II
Narasaraja Wodeyar II,Narasaraja,Wodeyar,,,II
Parantaka Chola II,Parantaka,Chola,,,II
Balbir Singh Sr.,Balbir,Singh,,,Sr.
Raja Raja Chola I,Raja,Chola,Raja,,I
